id,name,address,address2,address3,city,state,postalCode,country
a3723945-a79c-4cd2-9f9f-46e61191269c,Nike Store Afi Brasov,78, 15 Noiembrie avenue,,,Brasov,,500097,ROU
a3723945-a79c-4cd2-9f9f-46e61191269c,Nike Store Afi Brasov,78, 15 Noiembrie avenue,,,Brasov,,500097,ROU
a3723945-a79c-4cd2-9f9f-46e61191269c,Nike Store Afi Brasov,78, 15 Noiembrie avenue,,,Brasov,,500097,ROU
f160850f-f939-4cfd-8ec5-6ee5937f184e,Nike Iulius Mall Cluj,53 B, Alexandru Vaida -Voevod Street,,,Cluj,,400436,ROU
a3723945-a79c-4cd2-9f9f-46e61191269c,Nike Store Afi Brasov,78, 15 Noiembrie avenue,,,Brasov,,500097,ROU
f160850f-f939-4cfd-8ec5-6ee5937f184e,Nike Iulius Mall Cluj,53 B, Alexandru Vaida -Voevod Street,,,Cluj,,400436,ROU
f160850f-f939-4cfd-8ec5-6ee5937f184e,Nike Iulius Mall Cluj,53 B, Alexandru Vaida -Voevod Street,,,Cluj,,400436,ROU
98c6eab6-c853-4881-b916-f694dce97c62,Nike Baneasa,42D, București - Ploiești Road,district 1,,Bucharest,,015011,ROU
98c6eab6-c853-4881-b916-f694dce97c62,Nike Baneasa,42D, București - Ploiești Road,district 1,,Bucharest,,015011,ROU
f160850f-f939-4cfd-8ec5-6ee5937f184e,Nike Iulius Mall Cluj,53 B, Alexandru Vaida -Voevod Street,,,Cluj,,400436,ROU
98c6eab6-c853-4881-b916-f694dce97c62,Nike Baneasa,42D, București - Ploiești Road,district 1,,Bucharest,,015011,ROU
631530d3-69a4-40b0-a59d-8dc6367a5552,Nike Outlet Store Militari,Str. Comerțului 7-13, Domnești 077090,None,None,Domnesti,,077090,ROU
98c6eab6-c853-4881-b916-f694dce97c62,Nike Baneasa,42D, București - Ploiești Road,district 1,,Bucharest,,015011,ROU
a3723945-a79c-4cd2-9f9f-46e61191269c,Nike Store Afi Brasov,78, 15 Noiembrie avenue,,,Brasov,,500097,ROU
631530d3-69a4-40b0-a59d-8dc6367a5552,Nike Outlet Store Militari,Str. Comerțului 7-13, Domnești 077090,None,None,Domnesti,,077090,ROU
a3723945-a79c-4cd2-9f9f-46e61191269c,Nike Store Afi Brasov,78, 15 Noiembrie avenue,,,Brasov,,500097,ROU
631530d3-69a4-40b0-a59d-8dc6367a5552,Nike Outlet Store Militari,Str. Comerțului 7-13, Domnești 077090,None,None,Domnesti,,077090,ROU
631530d3-69a4-40b0-a59d-8dc6367a5552,Nike Outlet Store Militari,Str. Comerțului 7-13, Domnești 077090,None,None,Domnesti,,077090,ROU
f160850f-f939-4cfd-8ec5-6ee5937f184e,Nike Iulius Mall Cluj,53 B, Alexandru Vaida -Voevod Street,,,Cluj,,400436,ROU
2511c9c9-7513-4678-949b-892362fd8ec1,Nike Store Mega Mall,3-5, Pierre de Coubertin avenue,District 2,,Buchurest,,021901,ROU
2511c9c9-7513-4678-949b-892362fd8ec1,Nike Store Mega Mall,3-5, Pierre de Coubertin avenue,District 2,,Buchurest,,021901,ROU
2511c9c9-7513-4678-949b-892362fd8ec1,Nike Store Mega Mall,3-5, Pierre de Coubertin avenue,District 2,,Buchurest,,021901,ROU
2511c9c9-7513-4678-949b-892362fd8ec1,Nike Store Mega Mall,3-5, Pierre de Coubertin avenue,District 2,,Buchurest,,021901,ROU
f160850f-f939-4cfd-8ec5-6ee5937f184e,Nike Iulius Mall Cluj,53 B, Alexandru Vaida -Voevod Street,,,Cluj,,400436,ROU
62c1d2d3-ba1e-4230-b3a1-ab1567ce1155,Nike Afi Cotroceni,Bulevardul General Paul Teodorescu 4,,District 6,București 061344,Buchurest,,061344,ROU
8f234156-66db-44b4-80f6-d1b710bab311,Nike Outlet Store Pallady,Autostrada Soarelui km 15,,Cernica 077035,None,Cernica,,077035,ROU
62c1d2d3-ba1e-4230-b3a1-ab1567ce1155,Nike Afi Cotroceni,Bulevardul General Paul Teodorescu 4,,District 6,București 061344,Buchurest,,061344,ROU
98c6eab6-c853-4881-b916-f694dce97c62,Nike Baneasa,42D, București - Ploiești Road,district 1,,Bucharest,,015011,ROU
aae99b17-31e2-49c8-aac0-e9c351ae0a4b,Nike Iasi Palas,Str. Palas, 7A, Cladire 2, Iasi 700259,,,Iasi,,700259,ROU
62c1d2d3-ba1e-4230-b3a1-ab1567ce1155,Nike Afi Cotroceni,Bulevardul General Paul Teodorescu 4,,District 6,București 061344,Buchurest,,061344,ROU
98c6eab6-c853-4881-b916-f694dce97c62,Nike Baneasa,42D, București - Ploiești Road,district 1,,Bucharest,,015011,ROU
8f234156-66db-44b4-80f6-d1b710bab311,Nike Outlet Store Pallady,Autostrada Soarelui km 15,,Cernica 077035,None,Cernica,,077035,ROU
8f234156-66db-44b4-80f6-d1b710bab311,Nike Outlet Store Pallady,Autostrada Soarelui km 15,,Cernica 077035,None,Cernica,,077035,ROU
62c1d2d3-ba1e-4230-b3a1-ab1567ce1155,Nike Afi Cotroceni,Bulevardul General Paul Teodorescu 4,,District 6,București 061344,Buchurest,,061344,ROU
aae99b17-31e2-49c8-aac0-e9c351ae0a4b,Nike Iasi Palas,Str. Palas, 7A, Cladire 2, Iasi 700259,,,Iasi,,700259,ROU
631530d3-69a4-40b0-a59d-8dc6367a5552,Nike Outlet Store Militari,Str. Comerțului 7-13, Domnești 077090,None,None,Domnesti,,077090,ROU
631530d3-69a4-40b0-a59d-8dc6367a5552,Nike Outlet Store Militari,Str. Comerțului 7-13, Domnești 077090,None,None,Domnesti,,077090,ROU
8c6a0920-ceb9-4d94-ada5-20c72190a27d,Nike Timisoara Iulius Mall,2, Consiliul Europei Square,,,Timisoara,,300627,ROU
aae99b17-31e2-49c8-aac0-e9c351ae0a4b,Nike Iasi Palas,Str. Palas, 7A, Cladire 2, Iasi 700259,,,Iasi,,700259,ROU
2511c9c9-7513-4678-949b-892362fd8ec1,Nike Store Mega Mall,3-5, Pierre de Coubertin avenue,District 2,,Buchurest,,021901,ROU
62c1d2d3-ba1e-4230-b3a1-ab1567ce1155,Nike Afi Cotroceni,Bulevardul General Paul Teodorescu 4,,District 6,București 061344,Buchurest,,061344,ROU
8c6a0920-ceb9-4d94-ada5-20c72190a27d,Nike Timisoara Iulius Mall,2, Consiliul Europei Square,,,Timisoara,,300627,ROU
2511c9c9-7513-4678-949b-892362fd8ec1,Nike Store Mega Mall,3-5, Pierre de Coubertin avenue,District 2,,Buchurest,,021901,ROU
8f234156-66db-44b4-80f6-d1b710bab311,Nike Outlet Store Pallady,Autostrada Soarelui km 15,,Cernica 077035,None,Cernica,,077035,ROU
aae99b17-31e2-49c8-aac0-e9c351ae0a4b,Nike Iasi Palas,Str. Palas, 7A, Cladire 2, Iasi 700259,,,Iasi,,700259,ROU
42c09f2a-c932-43b8-84b9-7aa6e7002cd3,Nike City Park,Alexandru Lapusneanu Blvd.116c,,,Constantza,,900419,ROU
8c6a0920-ceb9-4d94-ada5-20c72190a27d,Nike Timisoara Iulius Mall,2, Consiliul Europei Square,,,Timisoara,,300627,ROU
8f234156-66db-44b4-80f6-d1b710bab311,Nike Outlet Store Pallady,Autostrada Soarelui km 15,,Cernica 077035,None,Cernica,,077035,ROU
aae99b17-31e2-49c8-aac0-e9c351ae0a4b,Nike Iasi Palas,Str. Palas, 7A, Cladire 2, Iasi 700259,,,Iasi,,700259,ROU
8c6a0920-ceb9-4d94-ada5-20c72190a27d,Nike Timisoara Iulius Mall,2, Consiliul Europei Square,,,Timisoara,,300627,ROU
62c1d2d3-ba1e-4230-b3a1-ab1567ce1155,Nike Afi Cotroceni,Bulevardul General Paul Teodorescu 4,,District 6,București 061344,Buchurest,,061344,ROU
8c6a0920-ceb9-4d94-ada5-20c72190a27d,Nike Timisoara Iulius Mall,2, Consiliul Europei Square,,,Timisoara,,300627,ROU
8f234156-66db-44b4-80f6-d1b710bab311,Nike Outlet Store Pallady,Autostrada Soarelui km 15,,Cernica 077035,None,Cernica,,077035,ROU
42c09f2a-c932-43b8-84b9-7aa6e7002cd3,Nike City Park,Alexandru Lapusneanu Blvd.116c,,,Constantza,,900419,ROU
42c09f2a-c932-43b8-84b9-7aa6e7002cd3,Nike City Park,Alexandru Lapusneanu Blvd.116c,,,Constantza,,900419,ROU
aae99b17-31e2-49c8-aac0-e9c351ae0a4b,Nike Iasi Palas,Str. Palas, 7A, Cladire 2, Iasi 700259,,,Iasi,,700259,ROU
42c09f2a-c932-43b8-84b9-7aa6e7002cd3,Nike City Park,Alexandru Lapusneanu Blvd.116c,,,Constantza,,900419,ROU
42c09f2a-c932-43b8-84b9-7aa6e7002cd3,Nike City Park,Alexandru Lapusneanu Blvd.116c,,,Constantza,,900419,ROU
8c6a0920-ceb9-4d94-ada5-20c72190a27d,Nike Timisoara Iulius Mall,2, Consiliul Europei Square,,,Timisoara,,300627,ROU
42c09f2a-c932-43b8-84b9-7aa6e7002cd3,Nike City Park,Alexandru Lapusneanu Blvd.116c,,,Constantza,,900419,ROU
